名称,图片,主料,辅料,调料,口味,方法,地域,季节,步骤,热量(卡路里),营养
汤圆,332944.jpg,水磨糯米粉 猪肉,盐 料酒 蚝油 鸡蛋 鸡精 白糖,,咸甜,,苏菜,元宵节,"['水磨糯米粉300g，加热水搅拌，用手揉匀', '猪肉用料理机搅拌成肉泥，加入盐味精耗油鸡蛋油白糖顺时针搅上劲搅拌均匀', '开始包汤团了，个人喜欢大的，三个就能吃饱，大小自己看着办包吧', '最后烧开水，放入汤团，煮开加水煮开加水煮开，三遍后浮起来即可出锅啦']",100,富含碳水化合物、含蛋白质
鱼香肉丝,126418.jpg,肉 胡萝卜 笋 木耳,葱 淀粉 姜 蒜,,微辣,,川菜,秋季食谱 儿童节,"['将肉切成丝。', '将肉丝放入少许盐，加入水淀粉上浆。', '将笋切成丝。', '将笋丝放入开水中焯一下。', '将焯好的笋丝放入凉水中浸泡。', '胡萝卜和木耳切成丝备用。', '葱姜蒜切末备用。', '将糖醋加入适量水，加入少许淀粉和鸡精，拌匀后做成料汁备用。', '锅内放油，放肉丝炒至变色。', '将炒好的肉丝捞出控油。', '锅内留余油，放葱姜蒜末煸炒。', '加入适量的郫县豆瓣酱炒出红油。', '放入胡萝卜丝翻炒至变软。', '加入笋丝和木耳丝继续翻炒。', '蔬菜炒熟后，倒入肉丝翻炒。', '倒入调好的料汁，翻炒均匀出锅。']",100,富含维生素、含蛋白质
苹果淮山肉丝汤,662761.jpg,苹果 淮山 瘦肉,胡萝卜 姜 生抽 生粉 胡椒粉,盐,甜味,炖,,,"['胡萝卜切片，苹果切片，淮山切小段。', '瘦肉切丝放入适量生粉生抽胡椒粉糖盐拌匀。', '腌制15分钟。', '放入胡萝卜。', '放入苹果片。', '放入淮山煮30分钟。', '加入肉丝煮熟即可。', '开动了。']",100,富含维生素、含蛋白质、铁元素
咖喱大头虾娃娃菜,232383.jpg,娃娃菜 大头虾,葱段 咖喱块 料酒 生抽 盐 味精,,咖喱,,,秋季食谱 冬季食谱,"['食材：娃娃菜、大头虾（已清洗）、咖喱块、葱段', '将娃娃菜清洗一下。', '放在案板上切开，待用。', '烧锅倒油烧热，下入已清洗好的大头虾，加适量的料酒。', '翻炒翻炒。', '随后，合入切好的娃娃菜翻炒一下。', '接着，搁入咖喱块，加适量的清水翻炒翻炒至熟。', '然后，加适量的生抽。', '加适量的盐。', '加适量的味精。', '调味炒匀。', '最后，搁入葱段，即成。']",100,富含蛋白质、维生素A、维生素C、铁元素
冬瓜肉丸汤,292306.jpg,猪肉馅 冬瓜 鸡蛋,葱末 姜末 盐 鸡精 水 十三香 干淀粉 生抽 辣椒油,,咸鲜,,,夏季食谱,"['准备好食材', '取适量冬瓜，去皮洗净切片备用', '准备好肉馅，打入一个鸡蛋', '放入少许生抽，十三香，葱末，姜末，干淀粉，水', '顺着一个方向搅拌至上劲', '凉水下锅放入冬瓜片烧开', '烧开后用勺子取适量的肉馅放入锅中煮熟（大小根据个人喜好）', '肉丸都浮起来就是煮好了，放入少许盐，鸡精，辣椒油调味既可']",100,富含维生素、含蛋白质
洋葱扒海参,422141.jpg,洋葱 海参,油 盐 鸡精 料酒 白糖 酱油 蒜 姜,,咸鲜,扒,,,"['海参洗干净。', '洋葱洗干净。', '海参切成块。', '海参入水焯后捞出沥干水。', '洋葱切成块。', '起油锅，蒜姜入锅炒香，洋葱入锅炒。', '海参入锅炒。', '加酱油炒。', '加料酒炒。', '加盐、鸡精炒。', '加白糖炒。', '炒均匀即可出锅享用。']",100,富含蛋白质、含碘、维生素A
糖醋炸土豆丝,148900.jpg,土豆,香菜 食用油,,酸甜,,,夏季食谱,"['准备原料。', '土豆削皮礤细丝，用水洗去表面的淀粉。', '炒锅放油，油热后炸土豆丝。', '炸到金黄酥脆时捞出。', '碗里放少许醋，白糖，盐，香菜段调匀。', '碗汁倒入土豆丝拌匀。']",150,富含碳水化合物、含维生素C、含淀粉
红糖生姜汤,214068.jpg,生姜,红糖 清水,,甜味,,,秋季食谱,"['生姜和红糖', '生姜洗净后切条', '将切好的生姜放入锅中，倒入清水', '水开后放入红糖熬煮10分钟即可', '盛出，趁热喝下，驱寒暖胃，效果不错！']",70,富含铁元素、含蛋白质、维生素C
虾味球青菜炒土豆粉条,485229.jpg,土豆粉条 青菜 虾味球,盐 生抽,,清淡,,,夏季食谱 秋季食谱,"['食材：土豆粉条、青菜（已洗净切开）、虾味球', '将土豆粉条拆开包装，放入保鲜盒中用开水泡5分钟。', '将虾味球放在案板上切成片，待用。', '烧锅倒油烧热，下入青菜翻炒一下。', '接着，加适量的清水。', '翻炒翻炒至青菜断生。', '然后，合入泡好的土豆粉条和切好的虾味球翻炒翻炒。', '最后，加适量的盐。', '加适量的生抽。', '调味炒匀即成。']",100,富含蛋白质、维生素C、碳水化合物
茄汁菜花,176049.jpg,菜花 亨氏番茄酱 五花肉,胡萝卜 姜 蒜 葱,,酸咸,,,夏季食谱,"['主料准备好', '姜切丝，蒜切末，胡萝卜切成细小的丁（胡萝卜用来配色的，可不加）', '五花肉切薄片', '菜花撕小朵，清洗干净后焯水一分钟，快速捞出后，控干', '锅中放少量油，放五花肉煸炒', '煸炒出五花肉的油分后放姜丝拌炒', '放入两大勺番茄酱和适量蚝油拌炒', '放菜花一起拌炒', '炒至菜花均匀的裹上酱汁后放入胡萝卜丁', '最后撒上葱花即可']",100,富含维生素C、含膳食纤维、含蛋白质
